FID	IID	SexCheck	RecordCheck	RelativeCheck
id001	id001	""	""	""
id002	id002	""	""	remove
id003	id003	""	""	""
id004	id004	""	""	""
id005	id005	""	""	""
id006	id006	""	""	""
id007	id007	""	""	""
id008	id008	""	""	""
id009	id009	""	""	""
id010	id010	""	""	""
id011	id011	""	""	remove
id012	id012	""	""	""
id013	id013	""	""	""
id014	id014	""	""	""
id015	id015	""	""	""
id016	id016	""	""	""
id017	id017	""	""	""
id018	id018	""	""	""
id019	id019	""	""	""
id020	id020	""	""	""
id021	id021	""	""	""
id022	id022	""	""	""
id023	id023	""	""	""
id024	id024	""	""	""
id025	id025	""	""	""
id026	id026	""	""	""
id027	id027	""	""	""
id028	id028	""	""	remove
id029	id029	""	""	""
id030	id030	""	""	""
id031	id031	""	""	""
id032	id032	""	""	""
id033	id033	""	""	remove
id034	id034	""	""	""
id035	id035	""	""	""
id036	id036	""	""	""
id037	id037	""	""	""
id038	id038	""	""	""
id039	id039	""	""	""
id040	id040	""	""	remove
id041	id041	""	""	""
id042	id042	""	""	""
id043	id043	""	""	""
id044	id044	""	fail	""
id045	id045	""	""	remove
id046	id046	""	""	""
id047	id047	""	""	""
id048	id048	""	""	""
id049	id049	""	""	""
id050	id050	""	""	""
id051	id051	""	""	""
id052	id052	""	""	""
id053	id053	""	""	remove
id054	id054	""	""	""
id055	id055	""	fail	""
id056	id056	""	""	""
id057	id057	""	""	""
id058	id058	""	""	remove
id059	id059	""	""	""
id060	id060	""	""	""
id061	id061	""	""	""
id062	id062	""	""	""
id063	id063	""	""	""
id064	id064	""	""	""
id065	id065	""	""	""
id066	id066	""	""	""
id067	id067	""	""	""
id068	id068	""	""	""
id069	id069	""	""	""
id070	id070	""	""	""
id071	id071	""	""	remove
id072	id072	""	""	""
id073	id073	""	""	""
id074	id074	""	""	""
id075	id075	""	""	""
id076	id076	""	""	""
id077	id077	""	""	""
id078	id078	""	""	""
id079	id079	fail	""	""
id080	id080	""	""	""
id081	id081	""	""	""
id082	id082	""	""	""
id083	id083	""	""	""
id084	id084	""	""	""
id085	id085	""	""	""
id086	id086	""	""	""
id087	id087	""	""	""
id088	id088	""	""	""
id089	id089	""	""	""
id090	id090	""	""	""
id091	id091	""	""	""
id092	id092	""	""	remove
id093	id093	""	fail	""
id094	id094	""	""	""
id095	id095	""	""	""
id096	id096	""	""	""
id097	id097	""	""	""
id098	id098	""	""	""
id099	id099	""	""	""
id100	id100	""	""	""
id101	id101	""	""	""
id102	id102	""	""	""
id103	id103	""	""	""
id104	id104	""	""	""
id105	id105	""	""	""
id106	id106	""	""	""
id107	id107	""	""	""
id108	id108	""	""	""
id109	id109	""	""	""
id110	id110	""	""	""
id111	id111	""	""	""
id112	id112	""	""	""
id113	id113	""	""	""
id114	id114	""	""	""
id115	id115	""	""	""
id116	id116	""	""	""
id117	id117	""	""	""
id118	id118	""	""	""
id119	id119	""	""	""
id120	id120	""	""	""
id121	id121	""	""	""
id122	id122	""	""	""
id123	id123	""	""	remove
id124	id124	""	""	""
id125	id125	""	""	""
id126	id126	""	""	""
id127	id127	""	""	""
id128	id128	""	""	""
id129	id129	""	""	""
id130	id130	""	""	""
id131	id131	""	""	""
id132	id132	""	""	""
id133	id133	""	""	""
id134	id134	""	""	""
id135	id135	""	""	""
id136	id136	""	""	""
id137	id137	""	""	""
id138	id138	""	""	""
id139	id139	""	""	""
id140	id140	""	""	""
id141	id141	""	""	""
id142	id142	""	""	""
id143	id143	""	""	""
id144	id144	""	""	""
id145	id145	""	""	""
id146	id146	""	""	""
id147	id147	""	""	""
id148	id148	""	""	""
id149	id149	""	""	""
id150	id150	""	""	""
id151	id151	""	""	""
id152	id152	""	""	""
id153	id153	""	""	""
id154	id154	""	""	""
id155	id155	""	""	""
id156	id156	""	""	""
id157	id157	""	""	""
id158	id158	""	""	""
id159	id159	""	""	""
id160	id160	""	""	remove
id161	id161	""	""	""
id162	id162	""	""	""
id163	id163	""	""	""
id164	id164	""	""	""
id165	id165	""	""	""
id166	id166	""	""	""
id167	id167	""	""	""
id168	id168	""	""	""
id169	id169	""	""	""
id170	id170	""	""	""
id171	id171	""	""	""
id172	id172	""	""	remove
id173	id173	""	""	""
id174	id174	""	""	""
id175	id175	""	""	""
id176	id176	""	""	""
id177	id177	""	""	""
id178	id178	fail	""	""
id179	id179	""	""	""
id180	id180	""	""	""
id181	id181	""	""	""
id182	id182	""	""	""
id183	id183	""	""	""
id184	id184	""	""	""
id185	id185	""	""	""
id186	id186	""	""	""
id187	id187	""	""	""
id188	id188	""	""	remove
id189	id189	""	""	""
id190	id190	""	""	""
id191	id191	""	""	""
id192	id192	""	""	""
id193	id193	""	""	""
id194	id194	""	""	""
id195	id195	""	""	""
id196	id196	""	""	""
id197	id197	""	""	""
id198	id198	""	""	remove
id199	id199	""	""	""
id200	id200	""	""	""
id201	id201	""	""	""
id202	id202	""	""	""
id203	id203	""	""	""
id204	id204	""	""	""
id205	id205	""	""	""
id206	id206	""	""	""
